"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"BAKER LAKE","NU","Température","Moyenne quotidienne (°C)","-30,5","-30,7","-26,1","-17,0","-6,0","5,5","12,1","10,4","3,4","-6,1","-18,4","-25,9","-10,8","A"
"BAKER LAKE","NU","Température","Écart-type de la température moyenne mensuelle (°C)","3,3","2,6","2,8","2,6","2,3","1,8","1,5","1,1","1,7","2,1","2,9","2,7","1,1","A"
"BAKER LAKE","NU","Température","Maximum quotidien (°C)","-27,0","-27,1","-21,8","-12,5","-2,6","10,0","17,5","15,0","6,8","-3,1","-14,6","-22,2","-6,8","A"
"BAKER LAKE","NU","Température","Minimum quotidien (°C)","-34,0","-34,2","-30,3","-21,5","-9,4","1,0","6,7","5,9","0,1","-9,0","-22,1","-29,5","-14,7","A"
"BAKER LAKE","NU","Température","Moyenne extrême la plus élevée (°C)","-6,6","-12,0","-4,9","1,8","9,4","18,9","23,6","21,4","17,7","7,6","0,6","-1,6","",""
"BAKER LAKE","NU","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2011/01/07","1947/02/28","1993/03/24","1995/04/27","2014/05/29","1985/06/30","1991/07/26","1998/08/04","2017/09/08","2015/10/01","1983/11/04","2010/12/18",""," "
"BAKER LAKE","NU","Température","Moyenne extrême la plus basse (°C)","-47,5","-47,2","-43,9","-37,2","-22,3","-8,6","2,7","-0,5","-9,7","-26,7","-38,0","-44,5","",""
"BAKER LAKE","NU","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1975/01/19","1955/02/27","1955/03/07","1964/04/10","1966/05/03","1959/06/03","1978/07/04","1985/08/28","1965/09/28","1978/10/29","1982/11/23","1953/12/30",""," "
"BAKER LAKE","NU","Température","Maximum extrême (°C)","-1,7","-2,6","1,5","5,0","16,2","30,9","33,6","30,9","24,2","13,5","2,2","1,1","",""
"BAKER LAKE","NU","Température","Maximum extrême (°C) (aaaa/mm/jj)","2000/01/28","2012/02/04","1999/03/26","1975/04/27","2014/05/29","2013/06/30","1989/07/18","1998/08/04","2017/09/08","2015/10/01","1950/11/07","2010/12/18",""," "
"BAKER LAKE","NU","Température","Maximum extrême le plus bas (°C)","-45,6","-44,6","-40,6","-33,3","-17,8","-5,1","4,4","1,6","-7,2","-23,5","-35,6","-43,3","",""
"BAKER LAKE","NU","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1954/01/02","1979/02/12","1955/03/07","1964/04/10","1974/05/01","2000/06/01","1948/07/04","1985/08/28","1974/09/30","1978/10/28","1968/11/27","1953/12/30",""," "
"BAKER LAKE","NU","Température","Minimum extrême le plus élevé (°C)","-7,7","-13,3","-8,3","-0,6","2,5","12,4","15,6","15,3","12,8","3,2","-0,5","-4,0","",""
"BAKER LAKE","NU","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2011/01/07","1947/02/28","2000/03/29","1953/04/27","2014/05/29","2008/06/21","1973/07/22","2020/08/04","2010/09/03","1998/10/05","1983/11/04","2010/12/19",""," "
"BAKER LAKE","NU","Température","Minimum extrême (°C)","-50,6","-50,0","-50,0","-41,1","-27,8","-13,9","-1,7","-3,4","-14,4","-30,6","-42,7","-45,6","",""
"BAKER LAKE","NU","Température","Minimum extrême (°C) (aaaa/mm/jj)","1975/01/20","1955/02/27","1950/03/01","1964/04/10","1966/05/03","1972/06/02","1950/07/02","1979/08/29","1965/09/28","1978/10/29","1982/11/24","1953/12/30",""," "
"BAKER LAKE","NU","Précipitation","Chute de pluie (mm)","0,0","0,0","0,0","0,1","3,9","18,7","37,3","47,6","39,3","5,2","0,0","0,1","152,3","D"
