"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"FORT MCMURRAY","AB","Température","Moyenne quotidienne (°C)","-17,2","-13,6","-6,7","2,7","9,9","14,9","17,3","15,6","9,9","2,4","-7,6","-14,8","1,1","A"
"FORT MCMURRAY","AB","Température","Écart-type de la température moyenne mensuelle (°C)","3,8","4,4","3,7","2,4","1,9","1,1","1,1","1,5","2,0","2,1","3,3","4,4","1,0","A"
"FORT MCMURRAY","AB","Température","Maximum quotidien (°C)","-11,9","-7,3","0,1","9,3","17,2","21,7","23,9","22,2","16,2","7,3","-3,2","-9,9","7,1","A"
"FORT MCMURRAY","AB","Température","Minimum quotidien (°C)","-22,3","-19,9","-13,5","-3,9","2,6","8,0","10,6","8,8","3,5","-2,5","-11,9","-19,6","-5,0","A"
"FORT MCMURRAY","AB","Température","Moyenne extrême la plus élevée (°C)","8,3","9,1","11,3","20,4","24,2","26,5","26,7","26,7","21,6","18,3","10,9","6,5","",""
"FORT MCMURRAY","AB","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1993/01/30","1992/02/29","2004/03/30","1980/04/28","1986/05/26","2018/06/20","1955/07/18","1991/08/10","2011/09/07","1992/10/03","1949/11/04","1979/12/27",""," "
"FORT MCMURRAY","AB","Température","Moyenne extrême la plus basse (°C)","-42,5","-40,6","-33,1","-26,4","-7,0","3,6","7,3","1,1","-5,3","-19,8","-35,1","-41,7","",""
"FORT MCMURRAY","AB","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1950/01/24","1947/02/01","2003/03/07","1954/04/01","2002/05/03","1951/06/27","1951/07/13","1948/08/25","1974/09/28","1984/10/31","1985/11/25","1951/12/18",""," "
"FORT MCMURRAY","AB","Température","Maximum extrême (°C)","15,1","15,0","20,1","30,2","34,8","36,8","35,6","37,0","32,4","28,6","18,9","10,7","",""
"FORT MCMURRAY","AB","Température","Maximum extrême (°C) (aaaa/mm/jj)","2003/01/07","1968/02/28","2004/03/30","1980/04/29","1986/05/26","2002/06/27","1955/07/18","1991/08/10","1981/09/09","1987/10/02","1949/11/04","1999/12/24",""," "
"FORT MCMURRAY","AB","Température","Maximum extrême le plus bas (°C)","-37,2","-33,3","-26,7","-21,1","-3,9","6,7","9,4","4,4","-3,3","-15,9","-33,0","-37,2","",""
"FORT MCMURRAY","AB","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1952/01/21","1947/02/02","1951/03/04","1954/04/01","1959/05/03","1960/06/03","1986/07/05","1948/08/25","1974/09/29","1984/10/31","1985/11/25","1951/12/18",""," "
"FORT MCMURRAY","AB","Température","Minimum extrême le plus élevé (°C)","3,4","6,1","5,5","11,1","18,1","18,4","20,0","18,0","16,1","12,7","6,1","4,9","",""
"FORT MCMURRAY","AB","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1993/01/30","1954/02/03","1994/03/13","1980/04/28","1990/05/30","2018/06/20","1975/07/13","1983/08/11","1950/09/21","1992/10/03","1954/11/06","1979/12/27",""," "
"FORT MCMURRAY","AB","Température","Minimum extrême (°C)","-50,0","-50,6","-44,4","-34,4","-17,3","-4,4","-3,3","-3,1","-15,6","-24,5","-37,8","-47,2","",""
"FORT MCMURRAY","AB","Température","Minimum extrême (°C) (aaaa/mm/jj)","1950/01/25","1947/02/01","1962/03/02","1954/04/02","2002/05/04","1946/06/10","1951/07/13","2004/08/22","1944/09/30","1984/10/30","1955/11/28","1951/12/19",""," "
"FORT MCMURRAY","AB","Précipitation","Chute de pluie (mm)","0,2","0,3","2,3","12,1","30,8","77,9","80,0","56,7","43,1","11,4","1,8","0,2","316,7","D"
"FORT MCMURRAY","AB","Précipitation","Chute de neige (cm)","20,3","18,9","17,1","7,2","2,5","0,0","0,0","0,0","1,4","8,3","18,3","16,6","110,6","D"
"FORT MCMURRAY","AB","Précipitation","Précipitation (mm)","15,7","13,0","15,3","18,1","31,0","78,0","77,4","55,9","43,7","25,8","17,2","13,4","404,6","C"
"FORT MCMURRAY","AB","Précipitation","Extrême quotidien de pluie (mm)","6,4","4,8","8,4","15,4","38,4","50,0","57,5","94,5","60,5","29,4","15,2","8,4","",""
"FORT MCMURRAY","AB","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","1944/01/17","1956/02/08","1991/03/22","1990/04/24","1966/05/22","1991/06/12","2005/07/23","1976/08/26","1970/09/02","1983/10/14","1983/11/04","1985/12/22",""," "
"FORT MCMURRAY","AB","Précipitation","Extrême quotidien de neige (cm)","16,3","15,2","29,7","26,2","15,2","0,3","0,0","0,2","27,9","17,2","18,0","22,6","",""
"FORT MCMURRAY","AB","Précipitation","Extrême quotidien de neige (cm) (aaaa/mm/jj)","1973/01/02","1994/02/18","1951/03/16","1985/04/20","1977/05/16","1957/06/09","1944/07/01","1984/08/28","1972/09/22","1984/10/16","1990/11/29","1961/12/21",""," "
"FORT MCMURRAY","AB","Précipitation","Extrême quotidien de précipitation (mm)","16,0","13,2","29,7","26,8","40,1","50,0","86,6","94,5","60,5","33,8","15,7","22,6","",""
"FORT MCMURRAY","AB","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","1973/01/02","1950/02/26","1951/03/16","1985/04/20","2014/05/29","1991/06/12","2016/07/31","1976/08/26","1970/09/02","2020/10/11","1967/11/22","1961/12/21",""," "
"FORT MCMURRAY","AB","Précipitation","Extrême quotidien couverture de neige (cm)","68","67","66","53","12","0","0","0","15","18","41","53","",""
"FORT MCMURRAY","AB","Précipitation","Extrême quotidien couverture de neige (cm) (aaaa/mm/jj)","1996/01/13","1996/02/19","1972/03/07","1967/04/08","1982/05/06","1955/06/01","1955/07/01","1955/08/01","1969/09/15","1988/10/28","1973/11/30","1973/12/03",""," "
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale <= -30 °C","0,52","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,21","0,73","A"
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale <= -20 °C","7,2","1,5","0,25","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,30","4,1","13,3","A"
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale <= -10 °C","17,7","10,9","4,5","0,14","0,0","0,0","0,0","0,0","0,0","0,16","4,9","14,1","52,4","A"
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale <= 0 °C","26,9","22,0","14,5","3,0","0,11","0,0","0,0","0,0","0,0","4,5","19,7","26,2","116,9","A"
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale > 0 °C","4,1","6,3","16,5","27,0","30,9","30,0","31,0","31,0","30,0","26,5","10,3","4,8","248,4","A"
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale > 10 °C","0,19","0,43","3,0","14,8","26,9","29,6","31,0","30,8","25,4","10,8","0,74","0,04","173,6","A"
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale > 20 °C","0,0","0,0","0,04","1,5","10,6","19,5","25,4","20,7","7,8","0,88","0,0","0,0","86,3","A"
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale > 30 °C","0,0","0,0","0,0","0,0","0,36","0,68","2,4","1,6","0,24","0,0","0,0","0,0","5,3","A"
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale > 35 °C","0,0","0,0","0,0","0,0","0,0","0,04","0,0","0,11","0,0","0,0","0,0","0,0","0,15","A"
"FORT MCMURRAY","AB","Jours avec température maximale","Jours avec température maximale > 40 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale > 20 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale > 10 °C","0,0","0,0","0,0","0,0","1,8","9,3","18,0","12,1","1,8","0,11","0,0","0,0","43,1","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale > 0 °C","0,11","0,29","0,93","6,9","21,8","29,2","31,0","30,3","23,6","9,2","0,44","0,14","153,9","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale <= 2 °C","31,0","28,1","30,8","27,0","14,4","2,1","0,24","1,5","11,1","26,1","29,9","30,9","233,2","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale <= 0 °C","30,9","28,0","30,1","23,1","9,3","0,77","0,0","0,68","6,4","21,8","29,6","30,9","211,4","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale < -2 °C","30,6","27,7","28,4","17,3","4,6","0,17","0,0","0,14","3,3","15,1","28,0","30,6","186,0","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale < -10 °C","28,1","23,9","17,6","4,0","0,14","0,0","0,0","0,0","0,03","2,4","16,4","26,0","118,7","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale < -20 °C","17,0","12,9","7,1","0,67","0,0","0,0","0,0","0,0","0,0","0,15","4,2","13,3","55,3","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale < -30 °C","8,0","4,5","2,2","0,03","0,0","0,0","0,0","0,0","0,0","0,0","0,30","4,5","19,5","A"
"FORT MCMURRAY","AB","Jours avec température minimale","Jours avec température minimale < -40 °C","0,70","0,21","0,07","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,25","1,2","A"
"FORT MCMURRAY","AB","Jours avec pluie","Jours avec pluie >= 0,2 mm","0,41","0,29","1,7","6,3","10,7","14,5","16,7","13,8","13,6","6,0","1,7","0,67","86,1","D"
"FORT MCMURRAY","AB","Jours avec pluie","Jours avec pluie >= 5 mm","0,0","0,0","0,12","0,88","1,9","5,0","4,9","3,5","2,5","0,59","0,06","0,0","19,4","D"
"FORT MCMURRAY","AB","Jours avec pluie","Jours avec pluie >= 10 mm","0,0","0,0","0,0","0,12","0,76","2,5","2,4","1,7","1,0","0,18","0,0","0,0","8,5","D"
"FORT MCMURRAY","AB","Jours avec pluie","Jours avec pluie >= 25 mm","0,0","0,0","0,0","0,0","0,06","0,59","0,41","0,18","0,12","0,0","0,0","0,0","1,4","D"
"FORT MCMURRAY","AB","Jours avec pluie","Jours avec pluie >= 50 mm","0,0","0,0","0,0","0,0","0,0","0,06","0,12","0,0","0,0","0,0","0,0","0,0","0,18","D"
"FORT MCMURRAY","AB","Jours avec pluie","Jours avec pluie >= 100 mm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","D"
"FORT MCMURRAY","AB","Jours avec neige","Jours avec neige >= 0,2 cm","12,5","10,9","9,7","3,7","1,2","0,0","0,0","0,0","0,59","5,6","11,2","11,5","66,7","D"
"FORT MCMURRAY","AB","Jours avec neige","Jours avec neige >= 5 cm","0,82","0,94","0,82","0,35","0,18","0,0","0,0","0,0","0,12","0,18","0,65","0,27","4,3","D"
"FORT MCMURRAY","AB","Jours avec neige","Jours avec neige >= 10 cm","0,12","0,18","0,12","0,0","0,0","0,0","0,0","0,0","0,0","0,06","0,06","0,07","0,61","D"
"FORT MCMURRAY","AB","Jours avec neige","Jours avec neige >= 25 cm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","D"
"FORT MCMURRAY","AB","Jours avec neige","Jours avec neige >= 40 cm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","D"
"FORT MCMURRAY","AB","Jours avec précipitation","Jours avec précipitation >= 0,2 mm","13,3","11,3","10,7","9,5","11,2","16,0","17,1","13,6","13,2","11,0","12,5","12,0","151,4","C"
"FORT MCMURRAY","AB","Jours avec précipitation","Jours avec précipitation >= 1 mm","5,4","4,2","4,7","4,5","6,5","10,5","11,7","8,2","7,6","5,9","6,5","5,2","81,0","C"
"FORT MCMURRAY","AB","Jours avec précipitation","Jours avec précipitation >= 5 mm","0,41","0,37","0,63","1,4","1,7","5,1","4,5","3,4","2,4","1,3","0,54","0,22","22,0","C"
"FORT MCMURRAY","AB","Jours avec précipitation","Jours avec précipitation >= 10 mm","0,04","0,0","0,11","0,12","0,77","2,2","2,2","1,6","1,1","0,33","0,04","0,04","8,6","C"
"FORT MCMURRAY","AB","Jours avec précipitation","Jours avec précipitation >= 25 mm","0,0","0,0","0,0","0,0","0,08","0,62","0,40","0,27","0,21","0,05","0,0","0,0","1,6","C"
"FORT MCMURRAY","AB","Jours avec précipitation","Jours avec précipitation >= 50 mm","0,0","0,0","0,0","0,0","0,0","0,04","0,08","0,0","0,0","0,0","0,0","0,0","0,12","C"
"FORT MCMURRAY","AB","Jours avec précipitation","Jours avec précipitation >= 100 mm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"FORT MCMURRAY","AB","Vent","Vitesse horaire moyenne du vent (km/h)","8,9","9,5","10,8","11,7","11,4","10,2","9,6","9,4","10,1","10,5","9,6","8,8","10,0","A"
"FORT MCMURRAY","AB","Vent","Direction dominante du vent","E","E","E","E","E","E","O","O","O","E","E","E","E","A"
