"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"NORMAN WELLS","NT","Température","Moyenne quotidienne (°C)","-25,4","-22,8","-18,2","-5,3","6,9","15,0","16,8","13,7","6,5","-3,9","-17,4","-23,6","-4,8","A"
"NORMAN WELLS","NT","Température","Écart-type de la température moyenne mensuelle (°C)","3,4","3,1","4,0","3,0","2,1","1,2","1,5","1,8","2,2","2,3","3,0","3,9","1,0","A"
"NORMAN WELLS","NT","Température","Maximum quotidien (°C)","-21,4","-18,0","-12,0","0,9","13,0","21,0","22,6","19,1","11,3","-0,5","-13,6","-19,6","0,2","A"
"NORMAN WELLS","NT","Température","Minimum quotidien (°C)","-29,4","-27,5","-24,3","-11,5","0,8","8,8","10,9","8,2","1,5","-7,2","-21,2","-27,5","-9,9","A"
"NORMAN WELLS","NT","Température","Moyenne extrême la plus élevée (°C)","3,0","0,6","7,5","11,5","21,0","27,1","27,2","25,2","19,7","13,1","6,4","4,8","",""
"NORMAN WELLS","NT","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2009/01/17","1988/02/26","2019/03/18","2010/04/28","2010/05/29","2013/06/28","1998/07/05","2020/08/01","1957/09/04","1989/10/07","1970/11/01","2020/12/03",""," "
"NORMAN WELLS","NT","Température","Moyenne extrême la plus basse (°C)","-50,0","-49,7","-38,9","-27,8","-12,8","1,1","3,7","-0,3","-8,1","-26,2","-40,9","-47,0","",""
"NORMAN WELLS","NT","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1952/01/19","1947/02/03","1952/03/04","1944/04/01","2002/05/02","1965/06/01","1969/07/12","1984/08/27","1974/09/29","1965/10/30","1951/11/30","1975/12/11",""," "
"NORMAN WELLS","NT","Température","Maximum extrême (°C)","12,5","7,9","17,8","20,0","31,3","33,5","35,0","34,8","28,7","21,0","13,3","11,1","",""
"NORMAN WELLS","NT","Température","Maximum extrême (°C) (aaaa/mm/jj)","2018/01/15","1990/02/27","2019/03/18","1976/04/28","2010/05/29","1999/06/17","1989/07/14","2017/08/10","2017/09/06","2003/10/02","1970/11/01","2020/12/03",""," "
"NORMAN WELLS","NT","Température","Maximum extrême le plus bas (°C)","-47,8","-47,2","-35,6","-22,8","-10,4","3,3","5,6","0,2","-5,6","-22,8","-38,9","-46,1","",""
